Description1,Description2,Correlation
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE KITCHEN,0.9554140127388536
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE LIVINGROOM ,0.9426751592356688
POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE KITCHEN,0.9371980676328502
CHILDS GARDEN FORK PINK,CHILDS GARDEN TROWEL PINK,0.935483870967742
CHILDS GARDEN FORK BLUE ,CHILDS GARDEN TROWEL BLUE ,0.9265536723163843
POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE KITCHEN,0.9049586776859505
CAST IRON HOOK GARDEN TROWEL,CAST IRON HOOK GARDEN FORK,0.9007633587786259
POPPY'S PLAYHOUSE BATHROOM,POPPY'S PLAYHOUSE BEDROOM ,0.8980891719745222
CHILDRENS GARDEN GLOVES BLUE,CHILDRENS GARDEN GLOVES PINK,0.8937499999999998
CHILDS GARDEN TROWEL BLUE ,CHILDS GARDEN TROWEL PINK,0.8829268292682926
CAST IRON HOOK GARDEN FORK,CAST IRON HOOK GARDEN TROWEL,0.8805970149253731
KIDS RAIN MAC BLUE,KIDS RAIN MAC PINK,0.8736842105263161
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.8648648648648648
CHILDS GARDEN FORK BLUE ,CHILDS GARDEN FORK PINK,0.864406779661017
CHILDS GARDEN FORK BLUE ,CHILDS GARDEN TROWEL PINK,0.8531073446327684
POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE BEDROOM ,0.8502415458937197
POTTING SHED COFFEE MUG,POTTING SHED TEA MUG,0.85
PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES,0.8497109826589595
KIDS RAIN MAC PINK,KIDS RAIN MAC BLUE,0.8469387755102041
CHILDS GARDEN TROWEL PINK,CHILDS GARDEN TROWEL BLUE ,0.8457943925233645
"FRENCH BLUE METAL DOOR SIGN, 2","FRENCH BLUE METAL DOOR SIGN, 1",0.84375
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.8432432432432432
METAL SIGN CUPCAKE SINGLE HOOK,"METAL SIGN,CUPCAKE SINGLE HOOK",0.8382352941176471
MONSTERS STENCIL CRAFT,HAPPY STENCIL CRAFT,0.8304093567251462
CHILDS GARDEN FORK PINK,CHILDS GARDEN TROWEL BLUE ,0.827956989247312
CHILDS GARDEN FORK PINK,CHILDS GARDEN FORK BLUE ,0.8225806451612905
SET/10 BLUE SPOTTY PARTY CANDLES,SET/10 PINK SPOTTY PARTY CANDLES,0.8205128205128207
COFFEE MUG PINK PAISLEY DESIGN,COFFEE MUG BLUE PAISLEY DESIGN,0.8205128205128204
"FRENCH BLUE METAL DOOR SIGN, 1","FRENCH BLUE METAL DOOR SIGN, 2",0.8181818181818181
BLUE FELT EASTER EGG BASKET,PINK FELT EASTER EGG BASKET,0.8167938931297709
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.8152610441767069
CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK PINK,0.8130841121495327
"KEY FOB , FRONT  DOOR ","KEY FOB , BACK DOOR ",0.810126582278481
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM ,0.8051470588235294
CHILDS GARDEN SPADE PINK,CHILDS GARDEN SPADE BLUE,0.8041237113402063
PACK OF 6 SKULL PAPER PLATES,PACK OF 6 SKULL PAPER CUPS,0.8032786885245902
FRENCH TOILET SIGN BLUE METAL,FRENCH BATHROOM SIGN BLUE METAL,0.801980198019802
BLUE OWL SOFT TOY,PINK OWL SOFT TOY,0.8017241379310346
BLUE 3 PIECE POLKADOT CUTLERY SET,PINK 3 PIECE POLKADOT CUTLERY SET,0.8015267175572519
KITCHEN METAL SIGN,BATHROOM METAL SIGN,0.7999999999999999
CHILDS GARDEN TROWEL BLUE ,CHILDS GARDEN FORK BLUE ,0.7999999999999999
"KEY FOB , GARAGE DESIGN","KEY FOB , SHED",0.7986577181208054
GLITTER CHRISTMAS TREE,GLITTER CHRISTMAS STAR ,0.7916666666666669
CHILDRENS GARDEN GLOVES PINK,CHILDRENS GARDEN GLOVES BLUE,0.7900552486187846
CHILDS GARDEN RAKE PINK,CHILDS GARDEN SPADE PINK,0.782608695652174
CHILDS GARDEN RAKE PINK,CHILDS GARDEN RAKE BLUE,0.782608695652174
GREEN GINGHAM FLOWER JEWELLERY BOX,RED GINGHAM ROSE JEWELLERY BOX,0.7821782178217822
TOILET METAL SIGN,BATHROOM METAL SIGN,0.7801418439716311
SET/10 IVORY SPOTTY PARTY CANDLES,SET/10 PINK SPOTTY PARTY CANDLES,0.7727272727272727
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.7682458386683738
BLUE FAIRY CAKE CHILD'S APRON,PINK FAIRY CAKE CHILD'S APRON,0.7681159420289856
CREAM SLICE FLANNEL CHOCOLATE SPOT ,CREAM SLICE FLANNEL PINK SPOT ,0.7674418604651162
PINK LOVE HEART SHAPE CUP,RED LOVE HEART SHAPE CUP,0.7669902912621359
GREEN 3 PIECE POLKADOT CUTLERY SET,RED 3 PIECE RETROSPOT CUTLERY SET,0.7666666666666666
COFFEE MUG DOG + BALL DESIGN,COFFEE MUG CAT + BIRD DESIGN,0.7635658914728682
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE RED ,0.7623762376237624
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.7610921501706484
GREEN  SPOTTY PLATE ,GREEN SPOTTY CUP,0.7545454545454546
CHILDS GARDEN BRUSH PINK,CHILDS GARDEN BRUSH BLUE,0.7538461538461539
GREEN SPOTTY CUP,BLUE  SPOTTY CUP,0.7528735632183907
GREEN SPOTTY CUP,RED SPOTTY CUP,0.7528735632183907
CHRISTMAS LIGHTS 10 SANTAS ,CHRISTMAS LIGHTS 10 REINDEER,0.752577319587629
3D SHEET OF DOG STICKERS,3D SHEET OF CAT STICKERS,0.7524752475247526
CHILDS GARDEN TROWEL BLUE ,CHILDS GARDEN FORK PINK,0.751219512195122
WHITE CHRISTMAS TREE DECORATION ,WHITE CHRISTMAS STAR DECORATION,0.7499999999999999
GLASS JAR MARMALADE ,GLASS JAR DIGESTIVE BISCUITS,0.7462686567164178
PAINTED METAL PEARS ASSORTED,ASSORTED COLOUR BIRD ORNAMENT,0.745205479452055
ALPHABET STENCIL CRAFT,HAPPY STENCIL CRAFT,0.7449664429530203
BLUE/CREAM STRIPE CUSHION COVER ,RED/CREAM STRIPE CUSHION COVER ,0.7428571428571429
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED ,0.7423312883435583
COFFEE MUG CAT + BIRD DESIGN,COFFEE MUG DOG + BALL DESIGN,0.7406015037593986
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.7405405405405405
CHRISTMAS GINGHAM STAR,CHRISTMAS GINGHAM HEART,0.7383720930232559
GREEN SPOTTY BOWL,RED SPOTTY BOWL,0.7368421052631581
GREEN  SPOTTY PLATE ,RED SPOTTY PLATE ,0.7363636363636364
"KEY FOB , BACK DOOR ","KEY FOB , SHED",0.7351190476190477
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN SPADE BLUE,0.7349397590361445
SMALL WHITE RETROSPOT MUG IN BOX ,SMALL RED RETROSPOT MUG IN BOX ,0.7349397590361445
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN,0.7333333333333334
COFFEE MUG PEARS  DESIGN,COFFEE MUG APPLES DESIGN,0.7310344827586206
3D SHEET OF CAT STICKERS,3D SHEET OF DOG STICKERS,0.7307692307692308
