,Product 1,Product 2,Observed
20930,FLOWER FAIRY OIL BURNER SET ROSE,FLOWER FAIRY OIL BURNER SET SUMMER,9
5532,ANTIQUE EDWARDIAN DRESSER,EDWARDIAN 2 DRAWER WALL CABINET ,8
24169,GREEN ENAMEL FLOWER RING,PURPLE ENAMEL FLOWER RING,7
10508,"BISCUIT TIN, RED,IVORY, VINTAGE","CAKE TIN, ROUND, VINTAGE RED,CREAM",6
15596,"CAKE TIN, 3 TIER RED/IVORY","CAKE TIN, ROUND, VINTAGE RED,CREAM",6
10628,BLACK ENAMEL FLOWER RING,GREEN ENAMEL FLOWER RING,6
25660,PURPLE ENAMEL FLOWER RING,RED ENAMEL FLOWER RING,6
10629,BLACK ENAMEL FLOWER RING,RED ENAMEL FLOWER RING,5
25995,S/3 FLWR FAIRY LILLY CANDLES,S/3 FLWR FAIRY ROSE CANDLES,5
24170,GREEN ENAMEL FLOWER RING,RED ENAMEL FLOWER RING,5
27040,VINTAGE CAT FOOD CONTAINER,VINTAGE DOG FOOD CONTAINER,5
10507,"BISCUIT TIN, RED,IVORY, VINTAGE","CAKE TIN, 3 TIER RED/IVORY",5
6066,BAKING MOULD HEART MILK CHOCOLATE,BAKING MOULD HEART WHITE CHOCOLATE,5
24685,MAGIC SLATE BUNNIES AT HOME ,MINI JIGSAW BUNNIES AT HOME,5
24711,MAGIC SLATE FIDO,MINI JIGSAW BUNNIES AT HOME,4
11230,BLUE PAINTED KASHMIRI CHAIR,PINK PAINTED KASHMIRI CHAIR,4
11672,"BREAD BIN, DINER STYLE, IVORY","CAKE TIN, ROUND, VINTAGE RED,CREAM",4
15602,"CAKE TIN, ROUND, VINTAGE MINT,IVORY","CAKE TIN, ROUND, VINTAGE RED,CREAM",4
15589,"CAKE TIN, 3 TIER MINT/IVORY","CAKE TIN, 3 TIER RED/IVORY",4
11666,"BREAD BIN, DINER STYLE, IVORY","BREAD BIN, DINER STYLE, MINT",4
25292,"PEARL & SHELL 42""NECKL. IVORY","PEARL & SHELL 42""NECKL. PINK",4
16117,CHILDRENS SPACEBOY MUG,SPACEBOY CHILDRENS EGG CUP,4
11164,BLUE KASHMIRI OCCASIONAL TABLE,PINK PAINTED KASHMIRI CHAIR,4
20813,"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",FELTCRAFT HAIRBANDS PINK + WHITE ,4
20812,"FELTCRAFT HAIRBAND S/2, PINK/PURPLE","FELTCRAFT HAIRBAND, S/2, RED/BLUE",4
20534,ENAMEL CAT BOWL CREAM,ENAMEL DOG BOWL CREAM,3
15595,"CAKE TIN, 3 TIER RED/IVORY","CAKE TIN, ROUND, VINTAGE MINT,IVORY",3
24710,MAGIC SLATE FIDO,MAGIC SLATE SPACEBOY ,3
5247,"ACRYLIC JEWEL SNOWFLAKE,BLUE","HANGING FLOWERS+MIRROR,BLUE",3
11143,BLUE KASHMIRI COFFEE TABLE ,BLUE KASHMIRI OCCASIONAL TABLE,3
11151,BLUE KASHMIRI COFFEE TABLE ,PINK KASHMIRI COFFEE TABLE ,3
11667,"BREAD BIN, DINER STYLE, IVORY","BREAD BIN, DINER STYLE, PINK",3
11155,BLUE KASHMIRI OCCASIONAL TABLE,BLUE PAINTED KASHMIRI CHAIR,3
15590,"CAKE TIN, 3 TIER MINT/IVORY","CAKE TIN, ROUND, VINTAGE MINT,IVORY",3
15591,"CAKE TIN, 3 TIER MINT/IVORY","CAKE TIN, ROUND, VINTAGE RED,CREAM",3
25009,"NUMBER TILE COTTAGE GARDEN, 9","NUMBER TILE COTTAGE GARDEN, No",3
21060,FRENCH BLUE METAL DOOR SIGN 0,FRENCH BLUE METAL DOOR SIGN 8,3
11670,"BREAD BIN, DINER STYLE, IVORY","CAKE TIN, 3 TIER RED/IVORY",3
15865,"CAT FOOD CONTAINER , VINTAGE","DOG FOOD CONTAINER , VINTAGE",3
11673,"BREAD BIN, DINER STYLE, IVORY","CAKESTAND, 3 TIER, LOVEHEART",3
15609,"CAKE TIN, ROUND, VINTAGE RED,CREAM","CAT FOOD CONTAINER , VINTAGE",3
4791,3 TRADITIONAL COOKIE CUTTERS  SET,CHILDRENS SPACEBOY MUG,3
24682,MAGIC SLATE BUNNIES AT HOME ,MAGIC SLATE FIDO,3
15611,"CAKE TIN, ROUND, VINTAGE RED,CREAM","DOG FOOD CONTAINER , VINTAGE",3
24172,GREEN ENAMEL+GLASS HAIR COMB,PAIR OF ENAMEL FLOWER CLUSTER SLIDE,3
25997,S/3 FLWR FAIRY ROSE CANDLES,S/3 FLWR FAIRY SUMMER CANDLES,3
24966,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, No",3
24962,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 5",3
24208,GREEN PEONY DES C/COVER,RED PEONY DES C/COVER ,3
6077,BAKING MOULD HEART WHITE CHOCOLATE,BAKING MOULD TOFFEE CUP CHOCOLATE,3
6067,BAKING MOULD HEART MILK CHOCOLATE,BAKING MOULD ROSE MILK CHOCOLATE,3
6075,BAKING MOULD HEART WHITE CHOCOLATE,BAKING MOULD ROSE MILK CHOCOLATE,3
24173,GREEN ENAMEL+GLASS HAIR COMB,PURPLE ENAMEL+GLASS HAIR COMB,3
6069,BAKING MOULD HEART MILK CHOCOLATE,BAKING MOULD TOFFEE CUP CHOCOLATE,3
24969,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 4",2
10791,BLACK VINTAGE  CRYSTAL EARRINGS,SILVER/BLACK PENDANT ORBIT NECKLACE,2
24970,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 5",2
15607,"CAKE TIN, ROUND, VINTAGE RED,CREAM","CAKESTAND, 3 TIER, LOVEHEART",2
15608,"CAKE TIN, ROUND, VINTAGE RED,CREAM","CAT BOWL, ENAMEL , CREAM COLOUR",2
24972,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 7",2
24971,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 6",2
24973,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 8",2
15610,"CAKE TIN, ROUND, VINTAGE RED,CREAM","DOG BOWL, ENAMEL , CREAM COLOUR",2
25465,PINK KASHMIRI COFFEE TABLE ,PINK PAINTED KASHMIRI TABLE,2
24974,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 9",2
11530,BLUE/NAT SHELL NECKLACE W PENDANT,SILVER/NATURAL SHELL NECKLACE,2
20547,ENAMEL CAT BOWL CREAM,VINTAGE DOG FOOD CONTAINER,2
20546,ENAMEL CAT BOWL CREAM,VINTAGE CAT FOOD CONTAINER,2
24968,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, 3 ",2
24960,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 3 ",2
24959,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 2",2
24950,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 3 ",2
24957,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, No",2
24956,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 9",2
20564,ENAMEL DOG BOWL CREAM,VINTAGE DOG FOOD CONTAINER,2
24955,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 8",2
24954,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 7",2
24953,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 6",2
24952,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 5",2
24951,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 4",2
24961,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 4",2
24965,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 8",2
24949,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 2",2
24948,"NUMBER TILE COTTAGE GARDEN, 0 ","NUMBER TILE COTTAGE GARDEN, 1",2
20563,ENAMEL DOG BOWL CREAM,VINTAGE CAT FOOD CONTAINER,2
25403,PINK ENAMEL FLOWER HAIR TIE,PURPLE ENAMEL FLOWER HAIR TIE,2
24963,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 6",2
24865,MOSAIC CANDLE DISH BLUE PURPLE,MUG AND COASTER SET RED CIRCLES,2
6335,BEECH WOOD PHOTO FRAME ,PINK FLOCK TABLE CLOCK ,2
24964,"NUMBER TILE COTTAGE GARDEN, 1","NUMBER TILE COTTAGE GARDEN, 7",2
24047,GLASS AND BEADS BRACELET IVORY,GLASS AND PAINTED BEADS BRACELET TO,2
24195,GREEN KASHMIRI OCCASIONAL TABLE,MEDINA STAMPED METAL STOOL,2
24704,MAGIC SLATE DOLLY GIRL ,MAGIC SLATE FIDO,2
24693,MAGIC SLATE CIRCUS PARADE  ,MINI JIGSAW BUNNIES AT HOME,2
26032,S/5 MINI ICE CREAM FRIDGE MAGNETS,SMALL FAIRY CAKE FRIDGE MAGNETS,2
24277,"HANGING FLOWERS+MIRROR,BLUE","JEWELLED DECORATION,BLUE",2
10503,"BISCUIT TIN, RED,IVORY, VINTAGE","BREAD BIN, DINER STYLE, IVORY",2
10505,"BISCUIT TIN, RED,IVORY, VINTAGE","BREAD BIN, DINER STYLE, RED ",2
26625,TIN CAN BISCUITS DESIGN,TIN CAN KINGS CHOICE DESIGN,2
10509,"BISCUIT TIN, RED,IVORY, VINTAGE","CAT BOWL, ENAMEL , CREAM COLOUR",2
10510,"BISCUIT TIN, RED,IVORY, VINTAGE","CAT FOOD CONTAINER , VINTAGE",2
10511,"BISCUIT TIN, RED,IVORY, VINTAGE","DOG BOWL, ENAMEL , CREAM COLOUR",2
10512,"BISCUIT TIN, RED,IVORY, VINTAGE","DOG FOOD CONTAINER , VINTAGE",2
16102,CHILDRENS CIRCUS PARADE MUG,CHILDRENS SPACEBOY MUG,2
24231,GREEN WITH METAL BAG CHARM,WHITE WITH METAL BAG CHARM,2
24229,GREEN WITH METAL BAG CHARM,IVORY GOLD METAL BAG CHARM,2
26093,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,SMALL FAIRY CAKE FRIDGE MAGNETS,2
6042,BAKING MOULD CHOCOLATE CUP CAKES,BAKING MOULD HEART MILK CHOCOLATE,2
6043,BAKING MOULD CHOCOLATE CUP CAKES,BAKING MOULD HEART WHITE CHOCOLATE,2
26099,SET 72 CAKE CASES VINTAGE CHRISTMAS,SET OF 36 DOILIES VINTAGE CHRISTMAS,2
6052,BAKING MOULD CHOCOLATE CUPCAKES,BAKING MOULD HEART MILK CHOCOLATE,2
6053,BAKING MOULD CHOCOLATE CUPCAKES,BAKING MOULD HEART WHITE CHOCOLATE,2
24191,GREEN KASHMIRI BOXED MIRROR,PINK KASHMIRI COFFEE TABLE ,2
6068,BAKING MOULD HEART MILK CHOCOLATE,BAKING MOULD ROSE WHITE CHOCOLATE,2
24205,GREEN PENDANT TRIPLE SHELL NECKLACE,TURQ PENDANT TRIPLE SHELL NECKLACE,2
6076,BAKING MOULD HEART WHITE CHOCOLATE,BAKING MOULD ROSE WHITE CHOCOLATE,2
6083,BAKING MOULD ROSE MILK CHOCOLATE,BAKING MOULD ROSE WHITE CHOCOLATE,2
26031,S/5 MINI ICE CREAM FRIDGE MAGNETS,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,2
26624,TIN CAN BISCUITS DESIGN,TIN CAN HOUSEKEEPING DESIGN,2
25964,"ROUND SNACK BOXES ,SET 4, FRUITS ","ROUND SNACK BOXES ,SET4, WOODLAND ",2
24096,"GLASS JAR, KINGS CHOICE SOAP",TIN CAN KINGS CHOICE DESIGN,2
24692,MAGIC SLATE CIRCUS PARADE  ,MAGIC SLATE SPACEBOY ,2
24691,MAGIC SLATE CIRCUS PARADE  ,MAGIC SLATE FIDO,2
24094,"GLASS JAR, KINGS CHOICE SOAP",TIN CAN BISCUITS DESIGN,2
24680,MAGIC SLATE BUNNIES AT HOME ,MAGIC SLATE CIRCUS PARADE  ,2
6084,BAKING MOULD ROSE MILK CHOCOLATE,BAKING MOULD TOFFEE CUP CHOCOLATE,2
4790,3 TRADITIONAL COOKIE CUTTERS  SET,CHILDRENS CIRCUS PARADE MUG,2
15859,"CAT BOWL, ENAMEL , CREAM COLOUR","DOG BOWL, ENAMEL , CREAM COLOUR",2
24514,LARGE BLUE ORIENTAL FOLDING STOOL,LARGE PINK PEONY FOLDING STOOL,2
11240,BLUE PAINTED KASHMIRI TABLE ,PINK PAINTED KASHMIRI TABLE,2
11238,BLUE PAINTED KASHMIRI TABLE ,PINK KASHMIRI COFFEE TABLE ,2
15934,CERAMIC HEART CAKE MONEY BANK,STRAWBERRY CAKE TEAPOT,2
11134,BLUE KASHMIRI BOXED MIRROR,BLUE KASHMIRI COFFEE TABLE ,2
24394,IVORY GOLD METAL BAG CHARM,WHITE WITH METAL BAG CHARM,2
24977,"NUMBER TILE COTTAGE GARDEN, 3 ","NUMBER TILE COTTAGE GARDEN, 4",2
11162,BLUE KASHMIRI OCCASIONAL TABLE,PINK KASHMIRI COFFEE TABLE ,2
11161,BLUE KASHMIRI OCCASIONAL TABLE,GREEN KASHMIRI OCCASIONAL TABLE,2
11160,BLUE KASHMIRI OCCASIONAL TABLE,GREEN KASHMIRI BOXED MIRROR,2
11153,BLUE KASHMIRI COFFEE TABLE ,PINK PAINTED KASHMIRI TABLE,2
11149,BLUE KASHMIRI COFFEE TABLE ,GREEN KASHMIRI BOXED MIRROR,2
11145,BLUE KASHMIRI COFFEE TABLE ,BLUE PAINTED KASHMIRI TABLE ,2
11140,BLUE KASHMIRI BOXED MIRROR,PINK KASHMIRI COFFEE TABLE ,2
11139,BLUE KASHMIRI BOXED MIRROR,GREEN KASHMIRI BOXED MIRROR,2
24975,"NUMBER TILE COTTAGE GARDEN, 2","NUMBER TILE COTTAGE GARDEN, No",2
27044,WOODEN STAR CHRISTMAS SCANDISPOT,WOODEN TREE CHRISTMAS SCANDISPOT,2
24978,"NUMBER TILE COTTAGE GARDEN, 3 ","NUMBER TILE COTTAGE GARDEN, 5",2
11704,"BREAD BIN, DINER STYLE, RED ","CAKE TIN, ROUND, VINTAGE RED,CREAM",2
24999,"NUMBER TILE COTTAGE GARDEN, 6","NUMBER TILE COTTAGE GARDEN, 9",2
25000,"NUMBER TILE COTTAGE GARDEN, 6","NUMBER TILE COTTAGE GARDEN, No",2
5248,"ACRYLIC JEWEL SNOWFLAKE,BLUE","JEWELLED DECORATION,BLUE",2
11671,"BREAD BIN, DINER STYLE, IVORY","CAKE TIN, ROUND, VINTAGE MINT,IVORY",2
